post_id,text,annotator_labels,target_list,token_length
18790322_gab,i live and work with many legal mexican immigrants who are great citizens and trump supporters they have no problem with deporting illegals maga,"[2, 1, 1]","['Hispanic', 'Refugee']",24
1113705567782969344_twitter,<user> <user> there shd be a film called no hindus in kashmir wud be perfect islamic fanaticsm movement in kashmir,"[1, 2, 1]","['Arab', 'Hindu', 'Islam']",20
24555628_gab,jews defends jews regardless muslims defend muslins regardless christian european attack christians christian people are on their own and jews and muslims have another home we don ffs we do not why can not people understand that it not that difficult,"[2, 1, 1]","['Christian', 'Islam', 'Jewish']",41
16323644_gab,got a couple more companies you can boycott this christmas season first one is ford they have got several <number> ads out featuring blip length shots of white men w other than white women this is becoming the norm too you defile the white man that will drive our women into their hands wn,"[1, 1, 0]","['Caucasian', 'Men', 'Women']",54
10672407_gab,people are going to blame the white nationalists for what happened but they were initially peaceful before antifa showed up what happened yesterday is the result of political correctness and the left legitimising political violence that why the establishment leftists do not condemn antifa <number> <number>,"[2, 1, 1]","['Caucasian', 'Other']",46
16953323_gab,you are completely correct without it communication breaks down leading to distortions misrepresentations this is a very serious problem among white males who failed to learn the language effectively,"[1, 1, 2]",['Caucasian'],29
1225661082083024897_twitter,caucasians wearing masks to prevent coronavirus and still don ’ t wash their hands,"[1, 2, 1]",['Caucasian'],14
1179015546890784768_twitter,<user> besudes guilt saviour complex among whites has reached such an alarming level that they want to save indian girls from being raped when the rate of sexual assault in their own countries is significantly higher,"[1, 0, 1]","['Caucasian', 'Women']",36
17398393_gab,your idea of compassion is allowing kate steinle killer go free that not compassion it a mental illness let be compassionate to the legal citizens of this country stop funding illegal immigrants stop encouraging lawlessness and build that fucking wall maga gabfam news,"[1, 0, 1]","['Men', 'Refugee', 'Women']",43
1126676847171907585_twitter,why don ’ t white boys with curly hair comb it looks like a bird ’ nest,"[2, 1, 1]",['Caucasian'],17
1178422453749604364_twitter,blow a stack for yo niggas with yo trapping ass,"[1, 1, 2]","['African', 'Minority', 'Nonreligious', 'Other']",10
1146139541805228032_twitter,<user> yes they put fear in black people jews and even white civil rights workers and they deny the holocaust ever happened,"[1, 2, 1]","['African', 'Caucasian', 'Jewish']",22
1178491915894956033_twitter,they playing a lot of ethnic music at this white ass wedding,"[2, 1, 1]",['Caucasian'],12
1165804439632011264_twitter,<user> i think immigrants should replace people like you,"[1, 1, 2]",['Refugee'],9
1211444261935288320_twitter,im literally not a zionist but dear lord how hard is it to just recognize that people just genuinely despise jews,"[1, 2, 1]",['Jewish'],21
1079140690200854528_twitter,<user> humor negro 😂 😂 😂 😂 😂,"[1, 2, 1]",['African'],8
12329944_gab,would be hilarious if the un building was turned into homeless shelter or hell why not a refugee center,"[2, 1, 1]","['Other', 'Refugee']",19
1254517888599429125_twitter,i am confused how a president blocked stimulus checks for those who married to immigrants while he himself married to an immigrant,"[2, 1, 1]",['Refugee'],22
23765647_gab,meanwhile little girls are sold in refugee camps where imported men then claim to be their fathers they are only raped and subjected to fgm and slavery but dare <user> find a moral obligation to call that out and strike against it why do not those children matter enough,"[1, 1, 2]","['Other', 'Refugee']",49
1162556202821115904_twitter,<user> tell us first who are these white supremacists how do we know that you are not one of them,"[2, 1, 1]",['Caucasian'],20
12122551_gab,worst case he looking at a path to citizenship for the ones who are not violent felons and who meet the criteria that would entitle a legal immigrant to be here under a merit based system <number> <number>,"[1, 2, 1]","['Other', 'Refugee']",38
19966687_gab,omfg they are still repeating the fake news that the killer was a white supremacist 🤣 <user> ‍ he hurled slurs at blacks and muslims and according to the anti defamation league had ties to white supremacists,"[2, 1, 1]","['African', 'Caucasian', 'Islam']",37
14528971_gab,feminism has not set women free it has robbed them of their dignity their femininity gabfam gab,"[1, 2, 1]",['Women'],17
1165451497330630656_twitter,two bros chillin in a hot tub five feet apart cus they are not gay,"[1, 1, 2]","['Homosexual', 'Men']",15
3686020_gab,you know what sicker if even possible than that happened to the white kid kidnapped in chicago is that some sick fucking people see it for anything else than what it fucking is a brutal unacceptable hate crime fuck you people like don t lemon worst reporter in cnn in <number>,"[1, 2, 1]",['Caucasian'],51
11675063_gab,especially since he claims he is a gay man,"[1, 2, 1]","['Heterosexual', 'Homosexual']",9
1176161132488339456_twitter,<user> that ’ pretty gay bro,"[1, 2, 1]",['Homosexual'],6
1179069022752645120_twitter,<user> <user> all white men do is lie and colonize nothing else,"[1, 0, 1]",['Caucasian'],12
1088873336657059841_twitter,<user> yeah there all nazis,"[1, 1, 2]","['Jewish', 'Other']",5
1191806356191186944_twitter,btw can i just say voting in washington is a fucking dream every state should do this,"[2, 1, 1]",['Other'],17
25401380_gab,it used to be associating with jews meant you had a good accountant or doctor and an extra dinner party to mark on the calendar now it means fbi raids bdsm perversion soiled potted plants and deep state coup attempts how the chosen have fallen,"[1, 2, 1]","['Jewish', 'Other']",45
15611789_gab,well it sleeping beauty they plan to rewrite first cause she never gave consent to be kissed by the prince the left are seriously fucked in the head and if the bbc show it i am sure she will be a black moslem like thor was,"[1, 1, 2]","['African', 'Islam']",46
1193293522142547968_twitter,<user> i hate you,"[1, 1, 0]",[],4
1178863310164447234_twitter,<user> they robbed them while serving looks too and they robbed the brooklyn museum tbh more shows should be about queer people stealing from white cishet institutions,"[1, 2, 1]",['Homosexual'],27
13501213_gab,again why are you so defensive about it is some nazi gonna come in and call you a name so what i have been called nigger more times than i can count,"[1, 1, 2]",['African'],32
1142248599209816065_twitter,wait other single people exist you mean not every gay person is taken 😱,"[2, 1, 1]",['Homosexual'],14
1266414967085031432_twitter,<user> soo like is she a nazi,"[2, 1, 1]",['Caucasian'],7
24795919_gab,theresa may treason has no limit as she appoints sajid javid home sec in charge of uk security police immigration a moslem of pakistani origin civil war seems to be the only route,"[1, 1, 0]",['Islam'],33
9116132_gab,fakenews is following hillary example blame everyone else for causing the violence even though they say kill and fight in their articles bye bye fake guys,"[2, 1, 1]","['Men', 'Other', 'Women']",26
27792370_gab,i bet overtly was invented by jews 🖕 😡 🖕,"[1, 1, 2]",['Jewish'],10
14685837_gab,interesting stuff i will not lie with all the current talk of some blacks wanting to re segregate it hard to argue against most people think a militia enforced instant segregation when they hear the term white nationalism and that enforcement with violence is what scares them,"[2, 1, 1]",['African'],47
18360243_gab,why are only white nations being invaded buy non white immigrants,"[2, 1, 1]","['African', 'Arab', 'Asian', 'Hispanic', 'Refugee']",11
11574607_gab,in the <number> <number> zipper head and slope were pretty fashionable i do believe they covered the gambit of asians,"[1, 2, 1]",['Asian'],20
16299654_gab,have been suspended four times by twitter always when content said something re moslems but truth also seeing that second largest shareholder is a moslem prince alwaleed bin talal bin abdulaziz alsaud not surprising so have drifted into gab ai for a better time and no moslem appeasement hope,"[0, 1, 1]",['Islam'],49
9025380_gab,black violence is wildly out of proportion,"[1, 1, 2]",['African'],7
27357442_gab,so my iphone still thinks fuck is duck but it auto corrects hufflepuff with no issue <number> is gay af,"[1, 1, 2]",['Other'],20
17913782_gab,hes a mohammaden just the same as every muslim in the world obeying the qur an,"[1, 2, 1]",['Islam'],16
1113640929330585600_twitter,maybe ban the nazis before u wanna worry about me tweeting something for the thousandth time,"[1, 0, 1]",[],16
10933352_gab,where are the condemnations of violence against <number> kissimmee fl cops last night that left <number> dead hello media rinos democrats bluelivesmatter,"[2, 1, 1]",['Other'],22
1179087798931877888_twitter,wishing the happiest birthday to my favorite crackhead <user> love u bitch,"[1, 1, 2]",[],12
