post_id,text,token_length,framing_count,DEHUMANIZATION,THREAT_VIOLENCE,EXCLUSION,CONSPIRACY,MORAL_DISGUST,INTELLECTUAL_INFERIORITY,SEXUAL_GENDERED,CRIMINAL_DANGER,ECONOMIC_BURDEN,RELIGIOUS,GENERALIZATION
27605417_gab,miss america shall embrace beer for beer makes fat women look beautiful,12,0,False,False,False,False,False,False,False,False,False,False,False
18012075_gab,the national health serivces of the uk making tax payers pay for insanity biological men who regard themselves as women are being invited for cervical smear tests – even though it is impossible for them to have a cervix – an official guidebook states,44,1,False,False,False,False,False,False,False,False,True,False,False
1232098262267678720_twitter,use coupon code “ holocaust denial ” for <number> odd at checkout,12,0,False,False,False,False,False,False,False,False,False,False,False
1278979776460578816_twitter,good morning to all the <number> ’ <number> <number> ’ <number> women,12,0,False,False,False,False,False,False,False,False,False,False,False
21515474_gab,theresa may wants to remain in the eu attacking russia attacking america by arresting brittany two huge deals could now be in jeopardy i hope the russians or the arabs get may,32,0,False,False,False,False,False,False,False,False,False,False,False
10731956_gab,lol gtfo of here with holocaust denial this place is amazing,11,0,False,False,False,False,False,False,False,False,False,False,False
1189486679595204608_twitter,every women i have been with was inserted in my life to teach me something it seems,17,0,False,False,False,False,False,False,False,False,False,False,False
15894296_gab,randomthought in my very early <number> i had a realization that broke my heart the realization was that no matter how long i lived i would never live long enough to sleep with all of the beautiful women in the world pure tragedy 😛,44,1,False,False,False,False,False,False,False,False,False,False,True
1100232293094907904_twitter,tf lebron got mix match shoes on tryna be cute bruh focus on making the ayoffs 😩 🤦 🏽 ‍ ♂ ️,22,0,False,False,False,False,False,False,False,False,False,False,False
1253904331310542849_twitter,horny teens dm me to trade gayteen gaytrade gaysnap,9,0,False,False,False,False,False,False,False,False,False,False,False
1162739972048379905_twitter,<user> mucho gusto maeve lindo nombre soy phoenix walsh un placer bonita,12,0,False,False,False,False,False,False,False,False,False,False,False
1165301513226510339_twitter,<user> <user> you sound like you are reading from a neonazi playbook,12,0,False,False,False,False,False,False,False,False,False,False,False
1179533482944614401_twitter,<user> well like they are lesbians for a reason lmao,10,0,False,False,False,False,False,False,False,False,False,False,False
24050890_gab,we will get them back the gindu mussie group or the anti american lefty antif group will find a place and time to return them,25,0,False,False,False,False,False,False,False,False,False,False,False
1144594565720092672_twitter,okay but realistically speaking i am way better at dealing with heat than the cold arabs be like,18,0,False,False,False,False,False,False,False,False,False,False,False
22105813_gab,i like women cause they are soft and pretty and they smell nice even though they are robots,18,0,False,False,False,False,False,False,False,False,False,False,False
1179041200294244352_twitter,<user> hate you,3,0,False,False,False,False,False,False,False,False,False,False,False
1178360730380320768_twitter,<user> <user> yeah make the women take the stairs c,10,0,False,False,False,False,False,False,False,False,False,False,False
21130036_gab,the absolute state of right wing women lol awaits the outrage,11,0,False,False,False,False,False,False,False,False,False,False,False
1116887530375274497_twitter,<user> everyone hate your knees,5,0,False,False,False,False,False,False,False,False,False,False,False
1167245413750956032_twitter,<user> <user> so racism with a sprinkle of sexual harassment,10,0,False,False,False,False,False,False,False,False,False,False,False
1258834932811665408_twitter,<user> i swear lee min ho will successfully turn me gayy 😪 😪 💔 💔,15,0,False,False,False,False,False,False,False,False,False,False,False
1081605053155291136_twitter,rt if your parents are not homophobes,7,0,False,False,False,False,False,False,False,False,False,False,False
1182315881948422145_twitter,young women of this generation be more worried about how much money he has rather than if he has the holy spirit or not,24,1,False,False,False,False,False,False,False,False,True,False,False
1179066514974093312_twitter,<user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> <user> anyone wanna bet how long until he starts denying the holocaust,35,0,False,False,False,False,False,False,False,False,False,False,False
9867294_gab,britain and usa are israel real enemies and the palestinians and other arabs are potential partners against american imperialism,19,0,False,False,False,False,False,False,False,False,False,False,False
1246371541681659905_twitter,<user> encourage more jihadis to spit,6,0,False,False,False,False,False,False,False,False,False,False,False
18961002_gab,<user> ‍ they call this a hipster raccoon but with the pbr and plaid shirt he looks more like a hillbilly raccoon 😆,23,0,False,False,False,False,False,False,False,False,False,False,False
1222524448827273217_twitter,<user> how many caucasians are infected with the virus,9,0,False,False,False,False,False,False,False,False,False,False,False
11033369_gab,move the arabs in israel to pakistan now i think of it,12,0,False,False,False,False,False,False,False,False,False,False,False
1185232317347794944_twitter,<user> yeah me and gaby hate you,7,0,False,False,False,False,False,False,False,False,False,False,False
1188342473464135685_twitter,<user> half the girls i develop a crush on are lesbians seems like,13,0,False,False,False,False,False,False,False,False,False,False,False
4088371_gab,<user> welcome to the club i posted about pizzagate holocaust myth truth to earn acct lock i will not retract one word so it stays locked forever until twitter is dead,31,1,False,True,False,False,False,False,False,False,False,False,False
24324827_gab,minimum wage defenders are the real racists minimum wages were first designed to keep women and minorities out of jobs <url>,21,0,False,False,False,False,False,False,False,False,False,False,False
1118855959160545280_twitter,<user> no collusion time to end the witch hunt and presidential harassment,12,0,False,False,False,False,False,False,False,False,False,False,False
14601968_gab,take a look at that sign fighting for women of all genders no there is only <number> female gender,19,0,False,False,False,False,False,False,False,False,False,False,False
11576842_gab,also only weak beta men are threatened by women in leadership positions so the only way to have an organization filled w strong manly men is to put women in charge it pretty basic science,35,0,False,False,False,False,False,False,False,False,False,False,False
17885803_gab,they should be at work they are arabs,8,0,False,False,False,False,False,False,False,False,False,False,False
16862232_gab,why arabs lose wars <user>,5,0,False,False,False,False,False,False,False,False,False,False,False
14841221_gab,a large number of men have also abdicated their responsibilities as providers and protectors pickup artistry and emancipated slutdom are cultures which mutually feed upon each other when i was young there were more women seeking lasting relationships than men has this reversed now,44,0,False,False,False,False,False,False,False,False,False,False,False
1186297871890468864_twitter,pause has anyone listened to the txt album im listening right now and i its so goos lesbians help im vibrating,21,0,False,False,False,False,False,False,False,False,False,False,False
1209673181067235330_twitter,<user> looking through your twitter makes me hate you,9,0,False,False,False,False,False,False,False,False,False,False,False
15430741_gab,kimmel has sexual harassment accusations made against him in <number> <number> <number>,12,0,False,False,False,False,False,False,False,False,False,False,False
1203177135302557696_twitter,<user> haa beti wale line mai thoda over cheesey ho gaya social media pe but uske kehne ka matlb tha he cares his wife like his daughter,27,0,False,False,False,False,False,False,False,False,False,False,False
1088355307632381952_twitter,<user> economic holocaust have a word 😄,7,0,False,False,False,False,False,False,False,False,False,False,False
1218011054757830656_twitter,<user> hate you 😭 😭 😭 i was just about to watch this rn,14,0,False,False,False,False,False,False,False,False,False,False,False
1191534008183775232_twitter,dapping up your skinny homies is annoying man you gotta be ready for a powerful embrace stop stumbling bro you scaring the women,23,0,False,False,False,False,False,False,False,False,False,False,False
1247714098495840264_twitter,tfw you hate yourself for no reason gt,8,0,False,False,False,False,False,False,False,False,False,False,False
1246577578506194945_twitter,it ’ the demonazi ’ and republicommies,7,0,False,False,False,False,False,False,False,False,False,False,False
12600538_gab,if female files for divorce the man should be awarded with kids and there should be no financial compensation awarding female if non marital sexual relationship of women will be found and proven in front of court the contact with her kids should be forbidden,45,0,False,False,False,False,False,False,False,False,False,False,False
1187204382619619334_twitter,<user> that actual harassment,4,0,False,False,False,False,False,False,False,False,False,False,False
1178860972762636289_twitter,meanwhile they are called shithole countries,6,0,False,False,False,False,False,False,False,False,False,False,False
1184804359902810112_twitter,<user> they used the f slur too so i ’ m guessing we got ourselves a homophobe here,18,0,False,False,False,False,False,False,False,False,False,False,False
1089669408241434624_twitter,chloe start a lesbian era i dare you,8,0,False,False,False,False,False,False,False,False,False,False,False
1215921170354016256_twitter,xuan lu and meng ziyi not being invited to award shows and nominated for their roles in cql is homophobic,20,0,False,False,False,False,False,False,False,False,False,False,False
1239265392461307904_twitter,<user> <user> not worth the risk complimenting women anymore,9,0,False,False,False,False,False,False,False,False,False,False,False
24715010_gab,wait till he gets to the part about the arabs,10,0,False,False,False,False,False,False,False,False,False,False,False
1179009626588745728_twitter,<user> <user> <user> sure numbers of the holocaust are probably inflated your religion is still bs,16,0,False,False,False,False,False,False,False,False,False,False,False
3713159_gab,<user> yes he is weird and chasing after women but to me is kind of funny,16,0,False,False,False,False,False,False,False,False,False,False,False
1194225983064166402_twitter,<user> why i still hate you you delete artpop,9,0,False,False,False,False,False,False,False,False,False,False,False
4721154_gab,<number> women and a child among the collateral damage in latest op obama bombed a doctors without borders hospital scotus,20,0,False,False,False,False,False,False,False,False,False,False,False
1256344933906161664_twitter,<user> it ’ also homophobic,5,0,False,False,False,False,False,False,False,False,False,False,False
26969039_gab,for the first time in decades saudis to let women drive cars and fly,14,0,False,False,False,False,False,False,False,False,False,False,False
21201098_gab,i thought it was because they wanted to be prettier than the liberal women 🤣 🤣 🤣 🤣 🤣,19,0,False,False,False,False,False,False,False,False,False,False,False
23996546_gab,attention women of all genders,5,0,False,False,False,False,False,False,False,False,False,False,False
1235485141084131329_twitter,follow <user> and get follow back shehnazians bhai ka old account suspend ho gya plz follow kro sare westandbyyousana,19,0,False,False,False,False,False,False,False,False,False,False,False
22639477_gab,stand up and be counted feel free to message me with any questions the ikk kk is currently taking applications we are looking for honest christian men and women who are ready to make a change ik org,38,1,False,False,False,False,False,False,False,False,True,False,False
19112105_gab,they will pay to have the holocaust industry accuse them of atrocities just like takes place in poland,18,0,False,False,False,False,False,False,False,False,False,False,False
6702497_gab,men must not confuse chivalry with letting women walk all over you,12,0,False,False,False,False,False,False,False,False,False,False,False
15751007_gab,i am a liberal and i have consensual sex with more women than the guys you see in porn,19,0,False,False,False,False,False,False,False,False,False,False,False
13215907_gab,gee i wonder why anita sarkeesian is not speaking out about harvey weinstein or andy signore sexual harassment on women 🤔,21,0,False,False,False,False,False,False,False,False,False,False,False
21162135_gab,i am so glad i am home time to stare at the wall and listen to some sweet music see ya later niggerz,23,0,False,False,False,False,False,False,False,False,False,False,False
1178285709964316679_twitter,<user> <user> <user> bring your canoe,6,0,False,False,False,False,False,False,False,False,False,False,False
1105564033632165888_twitter,<user> reported for targeted harassment,5,0,False,False,False,False,False,False,False,False,False,False,False
